timestamp,macModule,rssi,metre
2022-11-25 11:19:19.796,C45BBE39F56A,-76,50
2022-11-25 11:19:17.434,C45BBE37B346,-69,50
2022-11-25 11:19:10.624,C45BBE386952,-76,50
2022-11-25 11:19:09.783,C45BBE37B346,-77,50
2022-11-25 11:19:08.079,C45BBE39F56A,-73,50
2022-11-25 11:19:00.309,C45BBE39F56A,-73,50
2022-11-25 11:19:00.137,C45BBE37B346,-78,50
2022-11-25 11:17:59.812,C45BBE39F56A,-75,51
2022-11-25 11:17:59.277,C45BBE386952,-73,51
2022-11-25 11:17:50.057,C45BBE39F56A,-76,51
2022-11-25 11:17:49.175,C45BBE37B346,-59,51
2022-11-25 11:17:47.616,C45BBE386952,-76,51
2022-11-25 11:17:40.246,C45BBE39F56A,-74,51
2022-11-25 11:17:39.922,C45BBE386952,-78,51
2022-11-25 11:17:39.624,C45BBE37B346,-58,51
2022-11-25 11:17:30.509,C45BBE39F56A,-73,51
2022-11-25 11:17:30.342,C45BBE386952,-75,51
2022-11-25 11:17:29.973,C45BBE37B346,-58,51
2022-11-25 11:17:20.790,C45BBE39F56A,-77,51
2022-11-25 11:17:20.689,C45BBE386952,-77,51
2022-11-25 11:17:20.382,C45BBE37B346,-59,51
2022-11-25 11:17:10.799,C45BBE37B346,-58,51
2022-11-25 11:17:09.134,C45BBE39F56A,-76,51
2022-11-25 11:17:09.123,C45BBE386952,-78,51
2022-11-25 11:16:59.489,C45BBE386952,-79,51
2022-11-25 11:16:59.375,C45BBE39F56A,-76,51
2022-11-25 11:16:59.352,C45BBE37B346,-58,51
2022-11-25 11:16:49.755,C45BBE37B346,-57,51
2022-11-25 11:16:49.613,C45BBE39F56A,-75,51
2022-11-25 11:16:45.426,C45BBE386952,-78,51
2022-11-25 11:16:39.921,C45BBE39F56A,-75,51
2022-11-25 11:16:39.664,C45BBE386952,-77,51
2022-11-25 11:16:38.255,C45BBE37B346,-58,51
2022-11-25 11:16:30.602,C45BBE37B346,-60,51
2022-11-25 11:16:30.205,C45BBE39F56A,-74,51
2022-11-25 11:16:30.059,C45BBE386952,-76,51
2022-11-25 11:16:20.474,C45BBE386952,-73,51
2022-11-25 11:16:20.277,C45BBE39F56A,-78,51
2022-11-25 11:16:19.092,C45BBE37B346,-58,51
2022-11-25 11:16:10.852,C45BBE386952,-75,51
2022-11-25 11:16:09.535,C45BBE37B346,-60,51
2022-11-25 11:16:08.591,C45BBE39F56A,-71,51
2022-11-25 11:16:00.804,C45BBE39F56A,-69,51
2022-11-25 11:15:59.914,C45BBE37B346,-59,51
2022-11-25 11:15:59.351,C45BBE386952,-77,51
2022-11-25 11:15:50.371,C45BBE37B346,-59,51
2022-11-25 11:15:49.808,C45BBE386952,-76,51
2022-11-25 11:15:49.097,C45BBE39F56A,-68,51
2022-11-25 11:15:40.754,C45BBE37B346,-58,51
2022-11-25 11:15:40.154,C45BBE386952,-74,51
2022-11-25 11:15:39.380,C45BBE39F56A,-67,51
2022-11-25 11:15:30.551,C45BBE386952,-73,51
2022-11-25 11:15:29.694,C45BBE39F56A,-70,51
2022-11-25 11:15:29.194,C45BBE37B346,-59,51
2022-11-25 11:15:20.853,C45BBE386952,-74,51
2022-11-25 11:15:19.937,C45BBE39F56A,-67,51
2022-11-25 11:15:19.626,C45BBE37B346,-60,51
2022-11-25 11:15:10.219,C45BBE39F56A,-65,51
2022-11-25 11:15:09.946,C45BBE37B346,-61,51
2022-11-25 11:15:09.312,C45BBE386952,-73,51
2022-11-25 11:15:00.477,C45BBE39F56A,-64,51
2022-11-25 11:15:00.398,C45BBE37B346,-59,51
2022-11-18 09:20:50.806,C45BBE37B346,-71,52
