macModule,rssi,Time,Position (m)
C45BBE37B346,-75,13:20:11.209000,42
A8032A31204E,-73,13:20:22.553000,42
A8032A31204E,-78,13:20:30.228000,42
A8032A31204E,-71,13:20:34.086000,42
C45BBE37B346,-76,13:20:38.037000,42
C45BBE386952,-80,13:20:38.948000,42
C45BBE39F56A,-77,13:20:44.326000,42
C45BBE37B346,-79,13:20:49.479000,42
C45BBE386952,-77,13:20:50.640000,42
A8032A31204E,-68,13:20:53.274000,42
A8032A31204E,-78,13:21:02.820000,42
A8032A31204E,-78,13:21:12.429000,42
A8032A31204E,-80,13:21:22.100000,42
C45BBE39F56A,-79,13:21:25.255000,42
C45BBE386952,-75,13:21:25.554000,42
C45BBE37B346,-80,13:21:25.899000,42
A8032A31204E,-80,13:21:31.776000,42
A8032A31204E,-73,13:21:33.745000,42
C45BBE37B346,-80,13:21:35.390000,42
C45BBE386952,-78,13:21:39.107000,42
A8032A31204E,-78,13:21:47.376000,42
C45BBE39F56A,-79,13:21:50.968000,42
C45BBE386952,-78,13:21:52.576000,42
C45BBE37B346,-73,13:21:52.576000,42
C45BBE39F56A,-74,13:22:00.891000,43
C45BBE386952,-79,13:22:02.118000,43
A8032A31204E,-80,13:22:02.599000,43
C45BBE37B346,-80,13:22:09.653000,43
A8032A31204E,-80,13:22:12.197000,43
C45BBE39F56A,-78,13:22:18.425000,43
C45BBE39F56A,-80,13:22:26.203000,43
C45BBE386952,-79,13:22:27.089000,43
C45BBE37B346,-79,13:22:30.609000,43
A8032A31204E,-73,13:22:35.323000,43
C45BBE37B346,-70,13:22:40.196000,43
C45BBE39F56A,-80,13:22:42.168000,43
C45BBE386952,-75,13:22:42.559000,43
C45BBE37B346,-72,13:22:44.020000,43
C45BBE39F56A,-79,13:22:44.181000,43
C45BBE386952,-76,13:22:52.215000,43
A8032A31204E,-79,13:23:02.430000,43
A8032A31204E,-78,13:23:08.190000,43
A8032A31204E,-77,13:23:13.947000,43
C45BBE37B346,-73,13:23:20.347000,43
C45BBE386952,-75,13:23:21.150000,43
C45BBE37B346,-80,13:23:24.144000,43
C45BBE386952,-76,13:23:30.882000,43
C45BBE39F56A,-80,13:23:33.132000,43
A8032A31204E,-80,13:23:33.316000,43
C45BBE386952,-78,13:23:34.747000,43
C45BBE37B346,-80,13:23:35.604000,43
C45BBE39F56A,-80,13:23:38.999000,43
A8032A31204E,-80,13:23:39.078000,43
C45BBE37B346,-79,13:23:45.139000,43
C45BBE386952,-79,13:23:50.208000,43
